PLAYER_NAME,SHOT_ZONE,ACTION_TYPE,# of shots,% correct predictions,expected pts,true avg pts
Garrett Temple,Restricted Area - Center(C) - Less Than 8 ft.,Layup Shot,51,88.2%,0.39616093039512634,0.23529411764705882
Bradley Beal,Mid-Range - Right Side(R) - 8-16 ft.,Jump Shot,22,81.8%,0.3721037209033966,0.36363636363636365
John Wall,Mid-Range - Left Side Center(LC) - 16-24 ft.,Jump Shot,55,85.5%,0.3668833374977112,0.2909090909090909
John Wall,Mid-Range - Left Side(L) - 16-24 ft.,Jump Shot,20,90.0%,0.3642215430736542,0.2
John Wall,Mid-Range - Right Side(R) - 16-24 ft.,Jump Shot,23,91.3%,0.36411014199256897,0.17391304347826086
John Wall,Mid-Range - Center(C) - 16-24 ft.,Jump Shot,64,85.9%,0.3571065366268158,0.28125
John Wall,Mid-Range - Right Side Center(RC) - 16-24 ft.,Jump Shot,88,88.6%,0.33088474974713544,0.22727272727272727
John Wall,Mid-Range - Right Side(R) - 8-16 ft.,Jump Shot,26,88.5%,0.3290131688117981,0.23076923076923078
Bradley Beal,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Jump Shot,28,89.3%,0.3031623661518097,0.21428571428571427
John Wall,Mid-Range - Left Side(L) - 8-16 ft.,Jump Shot,22,86.4%,0.26046013832092285,0.2727272727272727
Ramon Sessions,In The Paint (Non-RA) - Center(C) - Less Than 8 ft.,Jump Shot,34,97.1%,0.21166586875915527,0.058823529411764705
